,bike_name,price,kms_driven,owner,age,power,brand
0,TVS Star City,35000.0,17654.0,First Owner,3.0,110.0,TVS
1,TVS Apache RTR,65000.0,16329.0,First Owner,4.0,180.0,TVS
2,Yamaha FZ S,80000.0,10000.0,First Owner,3.0,150.0,Yamaha
3,Yamaha FZs 150cc,53499.0,25000.0,First Owner,6.0,150.0,Yamaha
4,Honda CB Hornet,85000.0,8200.0,First Owner,3.0,160.0,Honda
5,Hero Splendor Plus,45000.0,12645.0,First Owner,3.0,100.0,Hero
6,Royal Enfield Classic,88000.0,19000.0,Second Owner,7.0,500.0,Royal Enfield
7,Yamaha YZF-R15 2.0,72000.0,20000.0,First Owner,7.0,150.0,Yamaha
8,Bajaj Pulsar NS200,78000.0,9900.0,First Owner,4.0,200.0,Bajaj
9,Bajaj Discover 100M,29499.0,20000.0,First Owner,8.0,100.0,Bajaj
10,Bajaj Discover 125M,29900.0,20000.0,First Owner,7.0,125.0,Bajaj
11,Suzuki Gixxer SF,48000.0,24725.0,First Owner,5.0,150.0,Suzuki
12,Bajaj Discover 125M,29900.0,20000.0,First Owner,7.0,125.0,Bajaj
13,Suzuki Gixxer SF,48000.0,24725.0,First Owner,5.0,150.0,Suzuki
14,Hero Splendor iSmart,46500.0,3500.0,First Owner,2.0,110.0,Hero
15,Yamaha FZ V,45000.0,23000.0,First Owner,6.0,150.0,Yamaha
16,Bajaj Pulsar NS200,78000.0,9900.0,First Owner,4.0,200.0,Bajaj
17,Hero Super Splendor,20000.0,29305.0,First Owner,16.0,125.0,Hero
18,Honda CBF Stunner,20800.0,30500.0,Second Owner,7.0,125.0,Honda
19,Bajaj Pulsar 150cc,50000.0,19000.0,First Owner,8.0,150.0,Bajaj
20,Honda X-Blade 160CC,81200.0,9100.0,First Owner,2.0,160.0,Honda
21,Bajaj Pulsar NS200,88000.0,21914.0,First Owner,3.0,200.0,Bajaj
22,Yamaha YZF-R15 2.0,80000.0,20000.0,Second Owner,4.0,150.0,Yamaha
23,Bajaj Avenger 220cc,40900.0,15000.0,First Owner,6.0,220.0,Bajaj
24,Honda CB Unicorn,40000.0,30000.0,First Owner,8.0,150.0,Honda
25,KTM Duke 200cc,70000.0,100000.0,Second Owner,8.0,200.0,KTM
26,Honda CBR 150R,65000.0,43000.0,First Owner,6.0,150.0,Honda
27,Royal Enfield Thunderbird,70000.0,45000.0,First Owner,8.0,350.0,Royal Enfield
28,Bajaj Avenger 220cc,45000.0,36100.0,First Owner,6.0,220.0,Bajaj
29,Royal Enfield Bullet,78000.0,8500.0,First Owner,13.0,350.0,Royal Enfield
30,Royal Enfield Classic,85000.0,18000.0,First Owner,6.0,350.0,Royal Enfield
31,Bajaj Pulsar NS200,38000.0,35000.0,First Owner,9.0,200.0,Bajaj
32,Royal Enfield Thunderbird,55346.0,38000.0,First Owner,10.0,350.0,Royal Enfield
33,Mahindra Centuro NXT,28000.0,45000.0,First Owner,2.0,110.0,Mahindra
34,Hero Hunk 150cc,37000.0,10800.0,First Owner,8.0,150.0,Hero
35,Yamaha FZ 150cc,40000.0,357000.0,First Owner,8.0,150.0,Yamaha
36,TVS Apache RTR,60000.0,30000.0,First Owner,5.0,160.0,TVS
37,Honda CB Shine,21900.0,30000.0,Second Owner,7.0,125.0,Honda
38,Bajaj Avenger 220cc,40000.0,64000.0,First Owner,7.0,220.0,Bajaj
39,Honda Dream Yuga,34500.0,17056.0,First Owner,5.0,110.0,Honda
40,Yamaha SZ 150cc,25000.0,172082.0,First Owner,9.0,150.0,Yamaha
41,Suzuki Gixxer 150cc,30200.0,45000.0,First Owner,7.0,150.0,Suzuki
42,Bajaj Avenger Cruise,65000.0,35000.0,First Owner,5.0,220.0,Bajaj
43,Bajaj Pulsar 150cc,25000.0,38000.0,First Owner,9.0,150.0,Bajaj
44,Bajaj Pulsar 220cc,80000.0,6000.0,First Owner,3.0,220.0,Bajaj
45,Royal Enfield Thunderbird,88000.0,19000.0,First Owner,5.0,350.0,Royal Enfield
46,Hero CD Deluxe,12200.0,46643.0,First Owner,14.0,100.0,Hero
